event_name,event_time_utc,bar_time_utc,bar_lag_min,close_at_T,ret_1,ret_3,ret_6,ret_12,initial_move,pre_vol,trend_label,trend_strength,dir_ret_1,dir_ret_3,dir_ret_6,dir_ret_12,behavior_6,trend_agrees
CPI,2024-03-12 12:30:00+00:00,2024-03-12 12:30:00+00:00,0.0,1.09224,0.000997949168680705,0.001016260162601575,-0.0004577748480189033,-0.00150150150150158,1,0.00012572846335146568,up,0.0052078731112488175,0.000997949168680705,0.001016260162601575,-0.0004577748480189033,-0.00150150150150158,reversion,True
NFP,2024-03-08 13:30:00+00:00,2024-03-08 13:30:00+00:00,0.0,1.09485,0.0016988628579257183,0.0016349271589715104,0.001479654747225606,0.0011965109375712858,1,0.00016986276416161363,down,-0.0029414896937693946,0.0016988628579257183,0.0016349271589715104,0.001479654747225606,0.0011965109375712858,drift,False
CPI,2024-04-10 12:30:00+00:00,2024-04-10 12:30:00+00:00,0.0,1.07906,-0.0006950493948434808,0.00020388115582090804,-0.0012974255370413563,-0.0021685541119122282,-1,0.00017172466099781968,down,-0.00023979046002886584,0.0006950493948434808,-0.00020388115582090804,0.0012974255370413563,0.0021685541119122282,drift,True
NFP,2024-04-05 12:30:00+00:00,2024-04-05 12:30:00+00:00,0.0,1.08105,0.00013875398917707085,-0.0006012672864345214,-0.0005365154248184866,-0.0008140234031728336,1,0.00022889330788737166,down,-0.009914137720845706,0.00013875398917707085,-0.0006012672864345214,-0.0005365154248184866,-0.0008140234031728336,reversion,False
FOMC,2024-05-01 18:00:00+00:00,2024-05-01 18:00:00+00:00,0.0,1.06929,-0.00094455199244375,-0.0007575119939398829,0.0008042719935656939,0.002459575980323308,-1,0.000162677673983033,down,-0.004755746953045037,0.00094455199244375,0.0007575119939398829,-0.0008042719935656939,-0.002459575980323308,reversion,True
ECB,2024-04-11 13:45:00+00:00,2024-04-11 13:45:00+00:00,0.0,1.07358,-0.0002514949980439208,-0.00044710221874479404,-0.0015369138769350484,-0.003297378863242494,-1,0.0006322417912039871,up,0.0008426571789710291,0.0002514949980439208,0.00044710221874479404,0.0015369138769350484,0.003297378863242494,drift,False
BoE,2024-05-09 12:00:00+00:00,2024-05-09 12:00:00+00:00,0.0,1.0731,9.318796011554282e-05,0.00020501351225431835,0.0019662659584382225,0.002199235858727183,1,0.00024908133631207444,up,0.0038507465190873447,9.318796011554282e-05,0.00020501351225431835,0.0019662659584382225,0.002199235858727183,drift,True
CPI,2024-05-15 12:30:00+00:00,2024-05-15 12:30:00+00:00,0.0,1.0857,-0.00019342359767895686,0.00013815971262768026,0.00020263424518733253,-0.0002486874827302335,-1,0.0002757489741308455,up,0.0023331282811069887,0.00019342359767895686,-0.00013815971262768026,-0.00020263424518733253,0.0002486874827302335,reversion,False
NFP,2024-05-03 12:30:00+00:00,2024-05-03 12:30:00+00:00,0.0,1.07988,0.0009167685298366915,-0.0008889876652960051,-0.001027891987998615,-0.002546579249546274,1,0.00020714327646845695,up,0.004039382360038646,0.0009167685298366915,-0.0008889876652960051,-0.001027891987998615,-0.002546579249546274,reversion,True
FOMC,2024-06-12 18:00:00+00:00,2024-06-12 18:00:00+00:00,0.0,1.08276,-6.464959917249852e-05,0.00013853485536969827,-0.00016624182644339185,-0.0011729284421292646,-1,0.00018974431397785453,up,0.000645524364406791,6.464959917249852e-05,-0.00013853485536969827,0.00016624182644339185,0.0011729284421292646,drift,False
ECB,2024-06-06 13:45:00+00:00,2024-06-06 13:45:00+00:00,0.0,1.08865,9.185688697070236e-06,0.00014697101915230794,-0.0008818261149128278,-0.000891011803609898,1,0.0003004135163833497,down,-0.006679798916635282,9.185688697070236e-06,0.00014697101915230794,-0.0008818261149128278,-0.000891011803609898,reversion,False
CPI,2024-06-12 12:30:00+00:00,2024-06-12 12:30:00+00:00,0.0,1.0817,-0.0006656189331608152,0.0004252565406304011,0.0006009059813255221,0.0017657391143568975,-1,0.00014214682178078673,up,0.007978446480633172,0.0006656189331608152,-0.0004252565406304011,-0.0006009059813255221,-0.0017657391143568975,reversion,False
NFP,2024-06-07 12:30:00+00:00,2024-06-07 12:30:00+00:00,0.0,1.08407,-0.0003874288560702602,-0.0008117556984327505,-0.0014851439482691257,-0.0015589399208539958,-1,0.0001626457808994984,up,0.004295427256539863,0.0003874288560702602,0.0008117556984327505,0.0014851439482691257,0.0015589399208539958,drift,False
FOMC,2024-07-31 18:00:00+00:00,2024-07-31 18:00:00+00:00,0.0,1.08103,-0.00018500874166302322,-9.25043708300738e-06,0.0006660314699870068,0.0018038352312147845,-1,0.00013041274383697904,up,0.001564178011042694,0.00018500874166302322,9.25043708300738e-06,-0.0006660314699870068,-0.0018038352312147845,reversion,False
ECB,2024-07-18 13:45:00+00:00,2024-07-18 13:45:00+00:00,0.0,1.09133,-0.00041234090513395533,-0.0005589510047373384,-0.000604766660863243,-0.0002015888869543465,-1,0.0001996220018369638,up,0.003224806087075427,0.00041234090513395533,0.0005589510047373384,0.000604766660863243,0.0002015888869543465,drift,False
BoE,2024-08-01 12:00:00+00:00,2024-08-01 12:00:00+00:00,0.0,1.07906,-0.0001482772042332567,-9.267325264437073e-06,0.0013344948380999277,0.00022241580634998795,-1,0.00023284924428315925,down,-0.0012721714777323978,0.0001482772042332567,9.267325264437073e-06,-0.0013344948380999277,-0.00022241580634998795,reversion,True
CPI,2024-07-11 12:30:00+00:00,2024-07-11 12:30:00+00:00,0.0,1.08874,-0.0007072395613277159,0.0009001230780535122,0.00038576703345138865,-0.00041332182155524866,-1,0.00018463996909204024,up,0.0003244235474189061,0.0007072395613277159,-0.0009001230780535122,-0.00038576703345138865,0.00041332182155524866,reversion,False
NFP,2024-07-05 12:30:00+00:00,2024-07-05 12:30:00+00:00,0.0,1.08261,-0.0008036134896224387,-0.00023092341655820976,-0.00020321260657125742,0.0003879513398175381,-1,0.0001343341758049099,down,-0.0024585790910748306,0.0008036134896224387,0.00023092341655820976,0.00020321260657125742,-0.0003879513398175381,drift,True
CPI,2024-08-14 12:30:00+00:00,2024-08-14 12:30:00+00:00,0.0,1.1016,-0.00011801016702974173,0.0001815541031227106,0.000708061002178652,0.0014705882352942783,-1,0.00029353266199051866,up,0.009251689607848279,0.00011801016702974173,-0.0001815541031227106,-0.000708061002178652,-0.0014705882352942783,reversion,False
NFP,2024-08-02 12:30:00+00:00,2024-08-02 12:30:00+00:00,0.0,1.08572,-0.0006999963158089506,0.0020999889474266477,0.0029749843421877334,0.0030670891205836267,-1,0.00014539988220591503,up,0.004073460747396229,0.0006999963158089506,-0.0020999889474266477,-0.0029749843421877334,-0.0030670891205836267,reversion,False
FOMC,2024-09-18 18:00:00+00:00,2024-09-18 18:00:00+00:00,0.0,1.11589,0.00045703429549508504,0.0015144861948758115,0.002518169353610104,-0.0018908673794012457,1,0.0002898021864228163,down,-0.0012271132566070708,0.00045703429549508504,0.0015144861948758115,0.002518169353610104,-0.0018908673794012457,drift,False
ECB,2024-09-12 13:45:00+00:00,2024-09-12 13:45:00+00:00,0.0,1.10383,-6.341556217897185e-05,-0.00045296830127842776,-4.5296830127923244e-05,0.0006069775237128438,-1,0.0005471835014047488,down,-0.0017559015788608523,6.341556217897185e-05,0.00045296830127842776,4.5296830127923244e-05,-0.0006069775237128438,drift,True
CPI,2024-09-11 12:30:00+00:00,2024-09-11 12:30:00+00:00,0.0,1.10256,-0.0011790741546946007,-0.0013241909737338711,-0.0005986068785371162,-0.0008979103178058758,-1,0.00024067385531791467,up,0.0014786189880078293,0.0011790741546946007,0.0013241909737338711,0.0005986068785371162,0.0008979103178058758,drift,False
NFP,2024-09-06 12:30:00+00:00,2024-09-06 12:30:00+00:00,0.0,1.11321,0.0004222024595538761,-7.18642484347787e-05,-0.0013744037513137965,-0.00326982330377924,1,0.00015640664776570327,down,-0.0015894592242575722,0.0004222024595538761,-7.18642484347787e-05,-0.0013744037513137965,-0.00326982330377924,reversion,False
