event_name,country,event_time_utc,bar_time_utc,bar_lag_min,close_at_T,ret_6_to_1,ret_12_to_1,ret_12_to_6,drift_dir_6,drift_dir_12,momentum_signal,pre_vol,trend_label,trend_strength
ECB,EU,2025-07-17 13:45:00+00:00,2025-07-17 13:45:00+00:00,0.0,1.15854,0.00017257148773877677,0.00018120162563747895,8.628648839934691e-06,1,1,1,0.00026528652834907575,down,-0.002207791986039487
CPI,US,2025-07-10 12:30:00+00:00,2025-07-10 12:30:00+00:00,0.0,1.17059,-0.0003927461493802525,-0.0005207488539256776,-0.00012805299686686114,-1,-1,-1,0.00012819186853847066,down,-0.0012927162629906563
NFP,US,2025-07-03 12:30:00+00:00,2025-07-03 12:30:00+00:00,0.0,1.17235,0.00011879608651751732,-0.0005681336385991253,-0.0006868481302467374,1,-1,-1,0.0001578791229183404,down,-0.008919361373378676
FOMC,US,2025-09-17 18:00:00+00:00,2025-09-17 18:00:00+00:00,0.0,1.1892,-4.2186260778491316e-05,0.00019410265498671025,0.00023629888433155763,-1,1,1,0.00018599281215890141,up,0.0101792538361265
ECB,EU,2025-09-11 13:45:00+00:00,2025-09-11 13:45:00+00:00,0.0,1.17307,0.0011774844495259658,0.003068953136487187,0.001889244131375169,1,1,1,0.0006949402140000475,up,0.0011839325648519416
BoE,UK,2025-08-07 12:00:00+00:00,2025-08-07 12:00:00+00:00,0.0,1.1642,0.00011165315377212749,-0.001757393913416294,-0.0018688384054865587,1,-1,-1,0.00013250824640805204,up,0.0037705451865561734
CPI,US,2025-08-13 12:30:00+00:00,2025-08-13 12:30:00+00:00,0.0,1.17104,4.268396790174622e-05,0.00027324037468094746,0.00023054656613697238,1,1,1,0.00019402248840983693,up,0.007606126719647888
NFP,US,2025-08-01 12:30:00+00:00,2025-08-01 12:30:00+00:00,0.0,1.15089,-0.0007103643028782711,-0.0013234469218902506,-0.0006135184406113474,-1,-1,-1,0.00034021906009439024,down,-0.0006227659338504665
CPI,US,2025-09-10 12:30:00+00:00,2025-09-10 12:30:00+00:00,0.0,1.17186,-0.0012300963575479105,-0.0005727132074503563,0.0006581927906518992,-1,-1,1,0.0002002410654742132,up,0.0023855948350848255
NFP,US,2025-09-05 12:30:00+00:00,2025-09-05 12:30:00+00:00,0.0,1.17339,0.00040192238622173323,0.0011638952836567089,0.000761666766510674,1,1,1,0.0001473437419354957,down,-0.001208746561069507
FOMC,US,2025-10-29 18:00:00+00:00,2025-10-29 18:00:00+00:00,0.0,1.16405,6.0103893873708407e-05,-0.0008835513617843332,-0.0009435985417114312,1,-1,-1,0.00021180057280501018,down,-0.0009479137449180941
